State,Year,admission_rate_per_100k,admission_rate_lag2,neighbor_admission_rate_lag1,search_PC1,search_PC2,search_PC3,log_state_population
Alaska,2017,303.6506910414949,297.92939073439595,394.8210262854579,-4.362284194775947,-0.8681987536661986,-0.37729888085172925,13.515732962044742
Alaska,2018,319.02300223723364,289.53304380028953,407.01229080593055,-4.24358400237893,-0.6232935961871003,-0.45983504661689323,13.509832864596445
Alaska,2019,333.9680999123504,303.6506910414949,408.6863708548655,-3.918115706997616,-0.19469758904652537,-1.1928400575697626,13.505723289338059
Alaska,2020,348.76182712902,319.02300223723364,410.77284130055324,-3.7970985605269516,-0.04990112695491984,-1.278749077957526,13.502384857647401
Arizona,2016,205.91043587207463,223.53013342149777,340.20570289804556,0.9787944906416548,-0.04995143902587581,1.8454165430605851,15.753498984291735
Arizona,2017,196.5071945753231,209.28432079920267,326.4687823758097,1.0840785209289099,-0.8896444606482724,0.5670826556041376,15.768266932331784
Arizona,2018,244.26916619627409,205.91043587207463,320.53858529211817,1.9857092656640207,-0.2050224511726237,-0.1958276819584904,15.784610867451955
Arizona,2019,220.10896285068125,196.5071945753231,336.96497073849866,2.6524477533314688,-0.26317913387474484,-0.5790479424459379,15.802266884104585
Arizona,2020,218.28762520715424,244.26916619627409,338.416825777874,2.6026412540004236,-0.8820126973989484,-1.0581729118689527,15.819878411336612
Arkansas,2016,491.3405407754156,515.3668586773126,471.0828871611189,-1.5950902723070406,0.017884804801933645,0.9220625092934763,14.911390784614053
Arkansas,2017,489.37115806189047,538.6390453906594,454.8669643061209,-1.4157157089678978,0.6339297690748358,0.7763250499729311,14.915407021726477
Arkansas,2018,531.180106242661,491.3405407754156,434.42530117676023,-0.7577067962978197,1.7825079477958787,-0.14326567896984446,14.918168319328615
Arkansas,2019,590.8668861315101,489.37115806189047,423.4516309703626,-0.24450405210990223,1.7782956189271575,-0.7666687154490464,14.921093495113185
Arkansas,2020,584.0577959836622,531.180106242661,432.5890154604101,-0.5482347059342493,1.9527887101849724,-0.4999359591597541,14.924245439875257
California,2016,290.55521103299566,323.68660854336724,264.4206232790121,2.1414316968501237,-1.7117820598605353,1.559210138644974,17.482890188358624
California,2017,294.88188010585753,312.5618826260216,247.11391992867485,1.5579158109474867,-1.576540883489498,1.0151110546224982,17.48769606532379
California,2018,307.95591491268084,290.55521103299566,218.18791878563368,2.538256425425802,-0.7901697004625196,0.28761045581621586,17.490226760071923
California,2019,300.09425013331185,294.88188010585753,253.75154923931996,3.0191882129782908,-0.6416979226607186,-0.02821546662095195,17.49023048748527
California,2020,270.7777606008604,307.95591491268084,249.38908591043807,2.94443636303941,-1.2905008005033842,-0.46795983231255683,17.4884658428306
Colorado,2016,236.29813537321755,268.09215719280047,343.73464216247976,1.7661131342957217,0.7079602121717463,1.124169148661444,15.528198680927842
Colorado,2017,242.10398330479413,259.42700915676505,331.274237123452,1.2887699280946732,-0.1683277822869355,-0.18978425886688155,15.541383219747361
Colorado,2018,253.63536712622357,236.29813537321755,331.268360059858,2.226529418740526,0.45557322893971935,-0.7505673444294271,15.55547748539451
Colorado,2019,249.19744530072663,242.10398330479413,321.3932491683057,2.887611242796414,-0.19634956457130112,-1.3894481944167727,15.566185150899466
Colorado,2020,246.2240339107316,253.63536712622357,334.46043349811504,3.060444816436477,-0.7852855966615861,-1.8149792179058142,15.574698452773644
Delaware,2018,170.6334638076082,168.4230027926639,497.319554552387,-3.6155809055899066,-0.21797650919657421,-0.7705055055963667,13.78193826242267
Delaware,2019,189.4195366286189,172.2442486079533,505.00891003409623,-3.752387878843096,-0.226678021355067,-0.8576531093340113,13.791902057511923
