STATEFIP,YEAR,mental_health_clients,anxiety_cases,depression_cases,substance_cases,trauma_stress_cases,bipolar_cases,schizophrenia_cases,serious_mental_illness
49,2014,48567,14052,13975,3,8976,7683,5493,64472
49,2015,51080,14764,14891,449,10094,7808,5567,61437
49,2016,53708,17001,14473,4695,9539,4550,5540,74590
49,2017,55525,18505,15021,157,10009,4398,5622,72683
49,2018,56095,19360,15427,22,10104,4482,5820,66655
49,2019,56224,19911,15903,159,10349,4477,5940,64592
49,2020,57456,21524,16792,160,10881,4662,6070,60442
49,2021,57477,22608,18232,159,11155,4873,6240,71561
49,2022,60234,24223,19288,171,12064,5120,6288,71411
49,2023,60390,25478,19354,202,12000,5041,6236,67659
49,2024,59990,25685,18535,17,12098,4898,5977,67913
50,2013,24435,3376,5421,213,7552,2008,1728,-109993
50,2014,24613,3371,4847,31,6999,1826,1334,-119335
50,2015,24580,3041,4240,40,6554,1640,1216,-126493
50,2016,31244,3697,4521,2945,7887,1265,1787,-256490
50,2017,30924,4026,4806,3211,8601,1351,1822,-260710
50,2018,31263,4387,5125,6921,9585,1382,1862,-269461
50,2019,31333,4719,5293,6610,9822,1413,1902,-274570
50,2020,27451,4894,5157,2924,9848,1334,1848,-244957
50,2021,27541,5561,5199,3253,9399,1362,1876,-246907
50,2022,27314,5965,5251,3406,10106,1285,1821,-245404
50,2023,25989,5869,4919,3228,9656,1264,1777,-233665
50,2024,24334,5753,4413,2871,9628,1211,1800,-218708
51,2013,109699,21420,36816,0,19027,29159,22616,106341
51,2014,112577,24325,38013,0,20662,30817,23220,105804
51,2015,115824,25872,39560,0,22202,31248,23595,108438
51,2016,117415,27238,38214,15,21887,22568,23761,97352
51,2017,122624,28848,40101,24,24114,22267,24135,81050
51,2018,123101,31448,42710,26,27846,23457,24794,88004
51,2019,126089,33721,45582,27,30359,24273,25830,118001
51,2020,128670,35938,46988,25,31910,24782,26175,125905
51,2021,126598,38925,46695,26,31576,24385,26769,126836
51,2022,123936,39852,45637,25,32732,23320,25999,102142
51,2023,122409,40402,44140,16,32341,22511,25919,89755
51,2024,121950,41471,42775,25,33003,22119,25813,87381
53,2013,147977,18866,49808,8036,31492,21971,19173,-32203
53,2014,70456,8716,23118,4693,14278,12829,15757,15405
53,2015,75828,10145,26390,5238,15608,13574,16795,16050
53,2016,77977,12286,23341,4645,15019,10026,13360,32431
53,2017,97485,19037,27528,8633,21018,10091,14703,76189
53,2018,107734,23761,31212,9185,25752,11197,16133,87482
53,2019,166834,40849,44280,15515,36360,13792,18288,46904
53,2020,245503,62518,59142,22473,47077,16421,19557,-77896
53,2021,305627,78489,69026,23611,51680,17857,20201,-226881
53,2022,367790,98671,74634,26354,61617,19186,20912,-327593
53,2023,350625,107168,77139,27813,65257,20232,21740,-571664
53,2024,279341,89370,62050,25126,51306,17348,20635,224604
54,2018,50605,17560,16900,7872,6020,6935,2491,32914
54,2021,18589,5439,3380,4271,1736,846,445,-18021
54,2022,14924,5071,3493,2714,1683,1220,678,-3590
54,2023,7759,2971,2541,1245,1111,1020,627,131
54,2024,5794,2261,1894,1585,1122,590,305,-11850
55,2013,97812,10994,27942,2472,14089,18128,16435,142036
55,2014,100684,11799,28280,2122,14502,18019,16453,188892
55,2015,72929,7984,16621,1189,9871,11952,10921,151309
55,2016,77345,9796,16012,931,9760,10814,10865,158683
55,2017,65079,11155,12009,365,7449,6322,8860,131053
55,2018,71193,12467,12193,241,7813,6215,9431,142222
55,2019,74279,13122,12139,171,7812,6209,9745,148838
55,2020,75905,14681,12820,163,7856,5981,9739,153990
55,2021,69845,13153,12346,144,7286,5736,9450,135879
55,2022,70546,13555,12180,311,7042,5469,8925,144798
55,2023,68232,13931,11720,35,6891,5474,8645,131778
55,2024,67755,14625,11134,27,6673,5048,8045,131763
56,2013,16582,3068,5555,2,3973,2368,870,35819
56,2014,17142,3583,5860,1,4098,2489,1050,34996
56,2015,17798,3803,6032,0,4279,2488,1049,35759
56,2016,17921,4053,5935,0,4492,2178,1036,35247
56,2017,17365,4105,5511,0,4177,1707,1031,34087
56,2018,16256,4150,5625,1,3893,1673,1034,30352
56,2019,16710,4769,5876,0,4022,1717,1042,28946
56,2020,16169,4636,5858,0,3864,1673,1084,27733
56,2021,14233,4420,5175,0,3471,1569,1019,24449
56,2022,14072,4813,5086,0,3557,1444,973,24255
56,2023,13303,4555,4431,0,3269,1273,930,23368
56,2024,10440,3355,3426,0,2520,1117,821,18386
72,2014,21387,3,5,0,3,0,2,21651
72,2015,23194,5,16,11,7,4,8,35158
72,2016,17567,5,17,11,7,4,7,27425
72,2017,25529,156,468,409,129,131,304,21301
72,2018,2918,325,851,617,149,235,701,3985
72,2019,3947,352,883,697,160,288,1316,4192
72,2020,3126,288,604,446,84,230,1377,3937
72,2021,8174,166,510,492,142,214,1565,8755
72,2022,2653,182,363,233,140,151,1228,3960
72,2023,3589,243,601,67,271,228,1499,4075
72,2024,3912,373,673,4,414,257,1476,4577
99,2013,206,10,28,20,11,9,24,438
99,2014,182,2,17,20,5,6,24,456
99,2015,175,2,10,26,5,6,14,150
99,2016,376,12,22,48,11,19,99,182
99,2017,389,9,20,63,21,15,87,55
99,2018,392,10,19,103,8,5,116,374
99,2019,526,19,35,125,35,18,95,677
99,2020,594,29,37,93,48,32,141,513
99,2021,755,52,74,83,89,26,150,403
99,2022,853,54,88,75,84,23,149,122
99,2023,727,56,114,63,37,29,145,-621
99,2024,340,49,106,0,29,27,114,544
