STATEFIP,YEAR,mental_health_clients,anxiety_cases,depression_cases,substance_cases,trauma_stress_cases,bipolar_cases,schizophrenia_cases,serious_mental_illness
12,2023,363731,37409,95366,480,59828,41978,44546,654953
12,2024,428660,50680,118604,906,72263,52453,57170,848032
13,2020,140661,31926,45552,32560,25592,25994,29424,120331
13,2021,130414,31508,41420,31844,24158,24623,28920,124451
13,2022,124391,30835,40124,29792,23568,23717,29127,87146
13,2023,118972,28955,36986,27244,22964,21632,28097,65512
13,2024,117717,28380,37384,24549,22564,20791,28991,57462
15,2013,12809,742,3172,716,2582,1877,3651,12477
15,2014,12594,568,3265,612,2853,1846,3685,12287
15,2015,10645,507,2428,350,2651,1415,2995,10591
15,2016,10117,604,2551,92,2305,1655,3291,9914
15,2017,9915,694,2453,156,2568,1576,3167,10095
15,2018,10006,639,2166,164,3042,1400,3160,9461
15,2019,9905,555,2131,47,2533,1162,2783,8979
15,2020,10014,498,1343,104,1127,786,2354,10513
15,2021,9496,591,2043,30,3200,1164,3231,9819
15,2022,9209,870,1687,0,3131,837,2622,10686
15,2023,9586,977,1726,1,3095,891,2846,11140
15,2024,9437,1035,1636,0,3084,887,2859,10995
16,2013,11880,731,2162,2230,966,2542,1670,-9256
16,2014,14107,384,1081,956,421,1486,1133,-41064
16,2015,14425,215,769,553,262,1176,795,-54437
16,2016,15320,1320,2280,10,587,1660,1909,-64331
16,2017,15424,1429,2541,19,848,1688,2041,-66176
16,2018,16718,1443,2603,1,855,1671,2067,-80002
16,2019,17465,1394,2570,2,867,1575,1999,-91787
16,2020,16364,1253,2393,3,801,1437,1989,-88805
16,2021,14039,903,1630,1,548,922,1650,-89535
16,2022,15178,993,1693,1,605,899,1747,-98968
16,2023,14782,930,1537,0,551,808,1753,-100669
16,2024,14473,796,1295,0,473,755,1597,-106208
17,2013,140482,22953,48608,60,22033,32196,21901,221635
17,2014,139699,25772,48329,64,22577,32900,21969,218461
17,2015,130002,26841,45240,26,21687,30722,18663,207343
17,2016,78703,2823,3067,2275,2412,2504,3405,87115
17,2017,71195,13959,22520,2576,12473,11999,11553,94842
17,2018,66656,13249,20908,2647,12354,10718,10735,94657
17,2019,45670,8755,13346,2310,8889,7437,9006,57126
17,2020,39500,8078,11329,2020,8298,6108,7684,51029
17,2021,29688,6328,8377,1675,5854,5054,6883,34261
17,2022,27315,6097,7937,1194,4843,4440,6698,28694
17,2023,27103,6442,7653,1774,4916,4237,6350,28110
17,2024,26635,6812,7492,1816,5018,4163,5988,24887
18,2013,126025,25789,42646,3,23322,19340,15085,175529
18,2014,129167,27856,44753,1,24462,19325,15366,180037
18,2015,134121,31278,47317,1,26100,19557,15474,187619
18,2016,135384,40948,46103,22,24729,15492,16347,189359
18,2017,137628,42245,48200,11,25851,15038,16120,192179
18,2018,137357,43580,48790,12,27137,14417,15536,193053
18,2019,139126,46774,50191,6714,29322,14277,15282,196899
18,2020,138697,50737,51610,9,31331,13982,14280,156044
18,2021,142235,55217,54813,11,32665,14529,13990,157254
18,2022,144125,59182,55225,11,34380,13936,12985,159035
18,2023,144623,62737,55994,5,34628,13610,12204,158917
18,2024,136487,62179,52773,6,33777,12416,11628,149273
19,2013,106151,12047,18632,464,21453,10892,5780,146943
19,2014,111351,14446,22268,930,24159,12343,6410,155134
19,2015,116443,17742,27409,1492,27944,13504,6904,160354
19,2016,115628,26158,54950,2363,25040,23501,11486,147167
19,2017,101763,10633,25688,862,9784,11540,6380,120980
19,2018,189347,51637,58859,0,38113,16984,13258,251108
19,2019,263112,88723,78295,0,45945,18500,14212,339940
19,2020,236041,22788,20862,0,4711,6501,7158,308522
19,2021,306017,100825,78811,0,44528,18300,14028,390989
19,2022,309212,114594,78009,0,48924,19477,14353,392904
19,2023,308139,120440,77128,0,47940,20145,14806,533840
19,2024,293301,112980,70761,0,45547,19077,14685,376267
20,2013,84636,15302,22004,5,15717,17458,8453,-80492
20,2014,80991,9758,14109,1,8452,11274,6232,-218026
20,2020,146152,33230,47537,8289,30709,15837,8746,172995
20,2021,61605,18271,22412,4328,15340,5510,3558,69750
20,2022,56420,17650,20661,4307,13978,4781,3267,64148
20,2023,39981,12173,14185,3254,10173,3279,2354,58230
20,2024,27186,7938,8550,2103,7303,2239,1990,42933
21,2013,161441,32158,47148,5406,29664,30837,12596,317185
21,2014,158086,33196,46683,5420,29449,30500,12647,302980
21,2015,160096,35647,47460,5429,30405,30853,12524,306967
21,2016,155014,37083,45617,7378,30160,23086,11492,277387
21,2017,155192,37719,45890,28484,31081,13618,11930,273572
21,2018,157732,38815,47461,29530,33793,13800,12214,288927
21,2019,165999,38895,46028,38851,36053,13109,11956,309244
21,2020,156223,37285,43166,36569,35463,12058,11274,280021
21,2021,146394,38007,42937,34061,34497,12208,11114,262377
21,2022,150362,40653,42492,33354,36275,11744,11046,252655
21,2023,144980,41298,40608,30251,33475,11167,10794,266384
21,2024,141549,41857,39169,30013,31730,10803,10889,257327
22,2013,51153,4937,15791,2,2591,9640,8558,-233261
22,2014,45373,3663,16919,0,2215,10578,9064,-174209
22,2015,43831,3948,15014,0,2278,9606,8132,-180580
22,2016,34508,2723,7770,0,1520,4742,5087,-173327
22,2017,49302,4272,9910,0,2431,4577,5156,-255891
22,2018,39413,3974,9292,0,1935,3858,4805,-136524
22,2019,36271,2926,7628,0,1601,3406,4460,-118673
22,2020,35891,3907,6656,0,1907,3228,3935,-125819
22,2021,41249,5265,7669,1,2371,3419,3727,-157815
22,2022,43741,6043,7937,1,2675,3302,3832,-161899
22,2023,44129,6648,8122,1,2944,3500,4247,-129673
22,2024,40192,5789,6416,1,2452,2996,4131,-123493
23,2013,71236,16154,19392,3718,18723,11494,3812,171459
23,2017,49502,4573,7157,1671,5272,4247,1342,-445518
23,2024,68226,27060,14053,2,17420,5009,3593,108549
24,2013,153768,18444,41130,1460,25750,33673,14262,315801
24,2014,165346,21816,45592,2037,27401,35091,14937,342549
24,2015,185306,27859,54015,2372,30402,31773,15496,399520
24,2016,202972,31953,52249,51,30948,24813,15876,485942
24,2017,201718,36750,57315,3292,34615,26026,16325,483707
24,2018,213605,41598,61456,3,38052,27611,16784,381221
24,2019,226003,45767,66735,2,41019,28829,16967,408083
24,2021,221241,41234,63349,270,38641,28156,16025,409340
24,2022,239527,51596,69094,324,42462,30296,16355,417399
24,2023,260133,58117,75696,439,43240,31387,17245,432428
24,2024,271088,64962,82405,706,45827,31814,15956,457303
25,2013,29226,2736,5232,4,5461,7722,10987,48144
25,2014,32046,3221,6126,0,5858,8129,11514,56003
25,2015,33556,3453,6302,0,6271,8669,11619,60242
25,2016,33921,1371,2321,0,2263,1710,3012,58258
25,2017,31659,2116,3399,0,2877,2352,3948,55201
25,2018,26383,2074,2414,0,1591,1929,3569,38792
25,2019,26275,1922,2184,0,1467,1755,3452,38828
25,2020,24755,1408,1644,0,1135,1497,3153,35439
25,2021,24382,2696,3024,1,2005,2515,4515,37759
25,2022,24382,2694,3024,2,2007,2514,4525,36911
25,2023,25399,3232,3530,3,2307,2910,5405,37212
25,2024,25399,3234,3529,2,2301,2908,5408,39597
26,2017,185060,35443,49126,10649,24117,29125,30992,140953
26,2018,239025,48248,67792,13483,35892,37044,36967,180447
26,2019,237713,49528,68799,9603,41567,36057,35589,184653
26,2020,235388,47559,64052,7463,42344,34119,36288,293613
26,2021,289574,59727,84770,7962,53830,43128,44593,342663
26,2022,277978,56949,79337,6787,52403,40428,42701,354203
26,2023,295361,65541,87757,5583,59324,42666,44086,400523
26,2024,281677,67216,84279,3797,57488,41254,42685,448066
27,2014,205841,62523,85364,1153,57723,29550,20108,452942
27,2015,225786,74424,94493,1261,65177,30321,20586,488818
27,2016,259024,86843,100671,1195,72485,27503,20655,562068
27,2017,270651,103969,97893,135,75765,21824,21353,578186
27,2018,287962,126748,121472,482,101008,29127,24123,540728
27,2019,287670,134816,113174,40,99365,22369,21987,556084
27,2020,318448,147720,126050,120,107503,24970,25215,590144
27,2021,312825,151382,123697,141,105480,24054,24802,576205
27,2022,345102,177153,137153,109,123065,25221,25979,644368
27,2023,504291,269520,198734,92,187659,32918,32212,999203
27,2024,358860,205579,144266,27,138503,23521,23385,719849
28,2013,87379,6673,23893,5864,8179,12337,10865,75163
28,2014,85962,3824,12219,3800,5332,6382,4273,-275669
28,2015,90279,6385,22296,4279,7318,11502,12091,56218
28,2016,83432,17299,21170,7267,8324,10983,10821,10934
28,2017,73867,8912,17869,7291,8004,7814,8002,99238
28,2018,85449,12977,24483,12549,10821,10400,10993,117800
28,2019,87406,14302,25557,13235,11475,10529,11308,119359
28,2020,102061,17733,29868,14894,14276,12180,14580,-50837
28,2021,95785,18254,28090,13566,14309,10727,14442,107432
28,2022,112267,22956,33400,15963,18029,12248,15783,126268
28,2023,125196,26639,37116,17681,20889,13219,16593,149854
28,2024,138751,31100,41025,19423,23228,14560,17928,165626
29,2013,75707,5279,23144,6,7022,19703,14409,84914
29,2014,74670,5315,23185,2,7038,19400,14185,81430
29,2015,75472,6242,23331,5,7607,19233,14234,72717
29,2016,76268,9744,22786,0,4516,15717,13989,18027
29,2017,77497,11101,24993,0,5629,16098,14530,62017
29,2018,76409,11388,25766,0,6156,15298,14402,63842
29,2019,80771,12552,27663,0,7086,15626,14750,65529
29,2020,82117,10945,25148,0,6638,13223,13250,43366
29,2021,82407,28622,37806,1272,16460,14625,16615,93187
29,2022,75307,27037,32200,551,15480,14557,14044,96992
29,2023,67448,25450,27901,341,13698,12337,12507,89280
29,2024,77310,31481,32508,423,15921,13999,13648,101176
30,2013,41812,7173,12922,2294,8214,6957,3864,77802
30,2014,43792,8037,13400,2485,9065,6909,3873,83385
30,2015,46288,9174,14354,2723,10268,6961,3903,90486
30,2016,38476,7396,9908,1685,7731,5042,2878,81760
30,2017,50515,13164,14843,442,11720,4991,3300,101214
30,2018,63050,24103,20749,95,15931,5865,3973,120105
30,2019,71770,27337,23291,32,14438,6694,4032,-163805
30,2020,74413,29740,23194,118,14165,6423,4009,147990
30,2021,71754,31386,23372,33,15072,6013,3548,144504
30,2022,80222,35550,30320,205,16052,7289,4454,162527
30,2023,76988,35669,20630,5,16014,6472,4312,155001
30,2024,70479,30625,16554,12,13806,5626,4040,141864
31,2013,22040,3339,6997,4,4296,6089,3447,33652
31,2014,22578,3659,7207,22,4665,5988,3346,35875
31,2015,19441,3698,6354,1,4411,5197,2369,32371
31,2016,19739,3754,5876,1,3883,3889,2115,31800
31,2017,21927,4267,6573,3011,4073,4092,2361,40008
31,2018,24983,4648,6801,3750,4366,3995,2438,64056
31,2019,26280,4589,7126,2768,4060,3771,2568,-4710
31,2020,29728,4718,7122,2977,4267,3830,2672,-37312
31,2021,24778,4975,6866,2820,3994,3493,2365,-4103
31,2022,22277,4371,5872,2401,3525,3007,2109,-15972
31,2023,19525,4302,5482,2117,3819,2668,2065,-6220
31,2024,20056,4622,5616,2328,4107,2668,2017,7365
32,2013,29196,4643,8582,9293,3689,7752,5626,-71419
32,2014,30358,4855,8649,8981,3806,7552,5649,-78365
32,2015,28589,4818,7826,7823,4140,6903,5908,-73241
32,2016,23945,2023,2251,3253,1833,1165,2017,-64169
32,2017,20535,2061,2377,3243,2020,1162,2074,-41746
32,2018,19635,1988,2180,2825,1930,1045,2033,-41320
32,2019,18937,2199,2053,2538,2024,995,2045,-50445
32,2020,16416,2240,2394,1806,1930,1124,2323,-29725
32,2021,15938,1872,2379,1651,1700,1106,2530,-34578
32,2022,18398,1674,1826,1382,1421,911,2187,-82364
32,2023,15970,1612,1423,1353,1264,842,2023,-42190
32,2024,24001,3352,2345,1121,4190,1117,3043,-11679
33,2021,44643,11512,11664,60,12371,2978,3107,62049
33,2022,44453,13952,12388,60,13695,3316,3516,59074
33,2023,43584,13788,11628,49,13062,3170,3486,56960
33,2024,40897,13605,11539,43,12547,3376,3649,49233
34,2013,324221,26597,68548,34928,45678,29580,31435,140076
34,2014,324940,27204,66938,33283,44848,28889,30918,80630
34,2015,325102,26606,66067,31902,42744,27724,30549,86649
34,2016,323392,1755,2085,1149,4080,638,157,82904
34,2017,402469,32461,79018,39462,55179,32789,40500,406987
34,2018,421376,34794,80705,39789,60219,33127,40025,395833
34,2019,427465,35496,80761,39347,61673,32533,39099,440545
34,2020,415832,35107,79777,38823,61395,31668,37507,439199
34,2021,418437,35648,81095,39166,63424,30589,37027,470393
34,2022,410142,33535,76806,36811,61156,29307,33721,430473
34,2023,412907,36888,78629,37435,66745,29550,33920,416441
34,2024,161705,24887,27983,972,30823,13022,13914,18632
35,2013,80772,12816,21057,12960,27107,12100,5461,172998
35,2014,93300,12225,19593,12317,26662,11830,6278,209613
35,2015,121603,16804,25515,18628,29996,12884,5558,284265
35,2016,131220,24028,29455,22948,37560,12108,6462,241241
35,2017,147669,32520,35644,32278,44343,12933,8585,238484
35,2018,149503,28379,27678,30637,31907,9598,7253,270023
35,2019,203037,43905,40546,44994,48112,12524,9420,329277
35,2020,179627,41553,35559,32282,43583,9927,7086,297062
35,2021,199859,49994,41457,43719,47043,12707,9141,220281
35,2022,214352,54032,41280,45444,49621,13165,9603,321692
35,2023,214434,56721,39341,46038,47717,13148,9888,331747
35,2024,210251,55868,37132,45207,44663,12808,9124,331426
36,2013,53000,4782,10233,1,7610,10855,20837,73371
36,2014,53505,5121,10366,0,8062,10875,20393,74657
36,2015,54524,6304,11001,28,8263,8685,20107,75453
36,2016,56968,9566,13745,577,11581,10655,20853,77945
36,2017,58040,7292,11738,8,11641,7293,20559,78616
36,2018,57929,7456,11860,18,12493,7077,20500,77252
36,2019,57523,7531,11748,2,13270,6731,20131,77260
36,2020,55997,7614,11294,0,14032,6359,19829,74973
36,2021,47354,6683,9632,4,11296,5606,18563,60372
36,2022,48184,7020,9578,5,12399,5431,18257,63599
36,2023,47577,7128,9018,2,13091,5182,17907,64102
36,2024,48219,7283,8799,2,14186,5126,18022,65713
37,2013,223440,36856,80772,1,39809,59405,27055,448200
