State,Year,Category,CategoryScore
New Jersey,2013,Psychological_Distress,68.25
New Mexico,2013,Psychological_Distress,74.0
New York,2013,Psychological_Distress,71.25
North Carolina,2013,Psychological_Distress,74.5
North Dakota,2013,Psychological_Distress,69.25
Ohio,2013,Psychological_Distress,71.0
Oklahoma,2013,Psychological_Distress,73.0
Oregon,2013,Psychological_Distress,49.0
Pennsylvania,2013,Psychological_Distress,80.75
Rhode Island,2013,Psychological_Distress,78.0
South Carolina,2013,Psychological_Distress,75.75
South Dakota,2013,Psychological_Distress,68.25
Tennessee,2013,Psychological_Distress,75.75
Texas,2013,Psychological_Distress,61.75
Utah,2013,Psychological_Distress,72.75
Vermont,2013,Psychological_Distress,84.5
Virginia,2013,Psychological_Distress,73.0
Washington,2013,Psychological_Distress,73.5
West Virginia,2013,Psychological_Distress,87.0
Wisconsin,2013,Psychological_Distress,74.25
Wyoming,2013,Psychological_Distress,67.0
Alabama,2013,Substance_Use,59.5
Alaska,2013,Substance_Use,44.5
Arizona,2013,Substance_Use,58.25
Arkansas,2013,Substance_Use,51.75
California,2013,Substance_Use,46.5
Colorado,2013,Substance_Use,45.75
Connecticut,2013,Substance_Use,61.25
Delaware,2013,Substance_Use,57.0
District of Columbia,2013,Substance_Use,50.0
Florida,2013,Substance_Use,53.25
Georgia,2013,Substance_Use,52.75
Hawaii,2013,Substance_Use,38.75
Idaho,2013,Substance_Use,49.25
Illinois,2013,Substance_Use,47.25
Indiana,2013,Substance_Use,55.5
Iowa,2013,Substance_Use,40.0
Kansas,2013,Substance_Use,44.75
Kentucky,2013,Substance_Use,65.75
Louisiana,2013,Substance_Use,53.0
Maine,2013,Substance_Use,72.75
Maryland,2013,Substance_Use,53.75
Massachusetts,2013,Substance_Use,58.25
Michigan,2013,Substance_Use,53.75
Minnesota,2013,Substance_Use,48.5
Mississippi,2013,Substance_Use,50.75
Missouri,2013,Substance_Use,54.5
Montana,2013,Substance_Use,56.5
Nebraska,2013,Substance_Use,41.5
Nevada,2013,Substance_Use,47.75
New Hampshire,2013,Substance_Use,54.25
New Jersey,2013,Substance_Use,58.0
New Mexico,2013,Substance_Use,55.75
New York,2013,Substance_Use,48.5
North Carolina,2013,Substance_Use,59.0
North Dakota,2013,Substance_Use,44.75
Ohio,2013,Substance_Use,56.5
Oklahoma,2013,Substance_Use,51.75
Oregon,2013,Substance_Use,33.5
Pennsylvania,2013,Substance_Use,60.75
Rhode Island,2013,Substance_Use,50.25
South Carolina,2013,Substance_Use,49.0
South Dakota,2013,Substance_Use,43.5
Tennessee,2013,Substance_Use,60.75
Texas,2013,Substance_Use,43.25
Utah,2013,Substance_Use,48.75
Vermont,2013,Substance_Use,57.25
Virginia,2013,Substance_Use,49.75
Washington,2013,Substance_Use,56.5
West Virginia,2013,Substance_Use,92.75
Wisconsin,2013,Substance_Use,56.75
Wyoming,2013,Substance_Use,44.5
Alabama,2014,Care_Seeking,69.5
Alaska,2014,Care_Seeking,63.0
Arizona,2014,Care_Seeking,67.25
Arkansas,2014,Care_Seeking,68.5
California,2014,Care_Seeking,66.75
Colorado,2014,Care_Seeking,67.5
Connecticut,2014,Care_Seeking,77.75
Delaware,2014,Care_Seeking,74.5
District of Columbia,2014,Care_Seeking,64.75
Florida,2014,Care_Seeking,69.25
Georgia,2014,Care_Seeking,60.75
Hawaii,2014,Care_Seeking,64.25
Idaho,2014,Care_Seeking,67.0
Illinois,2014,Care_Seeking,64.0
Indiana,2014,Care_Seeking,62.25
Iowa,2014,Care_Seeking,63.25
Kansas,2014,Care_Seeking,58.75
Kentucky,2014,Care_Seeking,63.0
Louisiana,2014,Care_Seeking,82.25
Maine,2014,Care_Seeking,71.5
Maryland,2014,Care_Seeking,84.25
Massachusetts,2014,Care_Seeking,72.75
Michigan,2014,Care_Seeking,65.0
Minnesota,2014,Care_Seeking,80.5
Mississippi,2014,Care_Seeking,68.75
Missouri,2014,Care_Seeking,70.0
Montana,2014,Care_Seeking,84.5
Nebraska,2014,Care_Seeking,62.75
Nevada,2014,Care_Seeking,68.0
New Hampshire,2014,Care_Seeking,68.0
New Jersey,2014,Care_Seeking,75.5
New Mexico,2014,Care_Seeking,67.0
New York,2014,Care_Seeking,82.5
North Carolina,2014,Care_Seeking,66.5
North Dakota,2014,Care_Seeking,62.0
Ohio,2014,Care_Seeking,65.25
Oklahoma,2014,Care_Seeking,65.75
Oregon,2014,Care_Seeking,42.0
Pennsylvania,2014,Care_Seeking,74.5
Rhode Island,2014,Care_Seeking,71.25
South Carolina,2014,Care_Seeking,66.75
South Dakota,2014,Care_Seeking,63.5
Tennessee,2014,Care_Seeking,68.75
