,count,mean,std,min,25%,50%,75%,max,median,skew,kurtosis
Year,452.0,2018.4845132743362,2.8498615491015347,2014.0,2016.0,2018.0,2021.0,2023.0,2018.0,0.006103439693526909,-1.2076093086626138
state_population,452.0,6856513.130530974,7384389.650014294,579054.0,1957910.75,4995066.5,8565122.25,39437610.0,4995066.5,2.4393342086952767,6.85547338783547
mental_health_admissions,452.0,26961.061946902653,29354.38240701484,1150.0,8337.5,16050.0,33562.5,145100.0,16050.0,2.0400699639005286,4.047319803960276
admission_rate_per_100k,452.0,401.79950108529846,148.15391370641393,110.11071712397192,285.1281508624395,395.84751798416687,497.9567709390323,826.9086469128429,395.84751798416687,0.5521390004939724,-0.050308528095054594
suicidal thoughts_lag1,450.0,38.567407407407416,24.52871027005787,0.0,15.520833333333334,44.166666666666664,56.5625,88.41666666666667,44.166666666666664,-0.3167900570177383,-1.0839365042943048
suicide hotline_lag1,450.0,36.54962962962963,19.307883464567723,0.0,24.083333333333332,39.41666666666667,52.375,71.0,39.41666666666667,-0.37026308799894364,-0.9195873203377403
self harm_lag1,450.0,43.82407407407407,21.53054595800198,0.0,32.416666666666664,45.54166666666667,57.604166666666664,90.75,45.54166666666667,-0.3009028604605779,-0.5082537200074899
mental health crisis_lag1,450.0,16.68740740740741,20.777556412558617,0.0,0.0,7.541666666666666,29.104166666666668,87.33333333333333,7.541666666666666,1.1826459768811741,0.45674263893391265
suicide prevention_lag1,450.0,25.07203703703704,10.301125905726202,0.0,18.645833333333332,27.333333333333332,32.916666666666664,50.666666666666664,27.333333333333332,-0.55618642675831,-0.3742524771964675
crisis hotline_lag1,450.0,24.035185185185185,24.543964795787087,0.0,0.0,14.083333333333332,47.5625,82.16666666666667,14.083333333333332,0.5353156218702326,-1.2142104874989617
psychiatric hospital_lag1,450.0,44.75666666666667,28.624648488908726,0.0,14.083333333333334,55.20833333333333,69.72916666666667,89.5,55.20833333333333,-0.40340030323245535,-1.375986226449616
depression help_lag1,450.0,51.062222222222225,22.206077100269706,0.0,41.5,58.20833333333333,67.64583333333334,81.83333333333333,58.20833333333333,-0.9977968431126343,-0.1608550743879147
