,suicidal thoughts_lag1,suicide hotline_lag1,self harm_lag1,mental health crisis_lag1,suicide prevention_lag1,crisis hotline_lag1,psychiatric hospital_lag1,depression help_lag1,admission_rate_per_100k
suicidal thoughts_lag1,1.0,0.43063992877194696,0.8267699437937861,0.34286135222856107,0.5815845211214012,0.5328010091635973,0.8299272147056589,0.6946918358014945,-0.056890324621045096
suicide hotline_lag1,0.43063992877194696,1.0,0.2497179897458853,0.5494990177458215,0.8200991805779196,0.5219208783904912,0.5821440999657229,0.8068555093828057,-0.10819443360846934
self harm_lag1,0.8267699437937861,0.2497179897458853,1.0,0.2904655504766267,0.4075518153189516,0.39311066444868603,0.6932642401495958,0.5720185236014391,0.04810445974194565
mental health crisis_lag1,0.34286135222856107,0.5494990177458215,0.2904655504766267,1.0,0.5622594534982982,0.805588792175571,0.6294393229143586,0.5861860833889398,-0.15708628648176867
suicide prevention_lag1,0.5815845211214012,0.8200991805779196,0.4075518153189516,0.5622594534982982,1.0,0.5835589213680424,0.7000477171362557,0.8300378468749238,-0.11468976397933701
crisis hotline_lag1,0.5328010091635973,0.5219208783904912,0.39311066444868603,0.805588792175571,0.5835589213680424,1.0,0.7305653962211376,0.6065802817354355,-0.1556700268883767
psychiatric hospital_lag1,0.8299272147056589,0.5821440999657229,0.6932642401495958,0.6294393229143586,0.7000477171362557,0.7305653962211376,1.0,0.7979765128587342,-0.006331139360994082
depression help_lag1,0.6946918358014945,0.8068555093828057,0.5720185236014391,0.5861860833889398,0.8300378468749238,0.6065802817354355,0.7979765128587342,1.0,0.012105035382416324
admission_rate_per_100k,-0.056890324621045096,-0.10819443360846934,0.04810445974194565,-0.15708628648176867,-0.11468976397933701,-0.1556700268883767,-0.006331139360994082,0.012105035382416324,1.0
