Year,suicidal thoughts,State,Search_Term,suicide hotline,self harm,mental health crisis,suicide prevention,crisis hotline,psychiatric hospital,depression help
2013,66.83333333333333,Alabama,suicidal thoughts,,,,,,,
2014,42.083333333333336,Alabama,suicidal thoughts,,,,,,,
2015,47.25,Alabama,suicidal thoughts,,,,,,,
2016,52.25,Alabama,suicidal thoughts,,,,,,,
2017,50.833333333333336,Alabama,suicidal thoughts,,,,,,,
2018,65.0,Alabama,suicidal thoughts,,,,,,,
2019,59.666666666666664,Alabama,suicidal thoughts,,,,,,,
2020,42.25,Alabama,suicidal thoughts,,,,,,,
2021,31.0,Alabama,suicidal thoughts,,,,,,,
2022,45.666666666666664,Alabama,suicidal thoughts,,,,,,,
2023,41.333333333333336,Alabama,suicidal thoughts,,,,,,,
2013,,Alabama,suicide hotline,11.166666666666666,,,,,,
2014,,Alabama,suicide hotline,14.5,,,,,,
2015,,Alabama,suicide hotline,33.916666666666664,,,,,,
2016,,Alabama,suicide hotline,38.583333333333336,,,,,,
2017,,Alabama,suicide hotline,61.166666666666664,,,,,,
2018,,Alabama,suicide hotline,68.0,,,,,,
2019,,Alabama,suicide hotline,54.5,,,,,,
2020,,Alabama,suicide hotline,55.083333333333336,,,,,,
2021,,Alabama,suicide hotline,49.666666666666664,,,,,,
2022,,Alabama,suicide hotline,68.5,,,,,,
2023,,Alabama,suicide hotline,60.25,,,,,,
2013,,Alabama,self harm,,58.5,,,,,
2014,,Alabama,self harm,,58.25,,,,,
2015,,Alabama,self harm,,49.916666666666664,,,,,
2016,,Alabama,self harm,,41.416666666666664,,,,,
2017,,Alabama,self harm,,33.666666666666664,,,,,
2018,,Alabama,self harm,,28.25,,,,,
2019,,Alabama,self harm,,29.583333333333332,,,,,
2020,,Alabama,self harm,,28.0,,,,,
2021,,Alabama,self harm,,32.083333333333336,,,,,
2022,,Alabama,self harm,,32.916666666666664,,,,,
2023,,Alabama,self harm,,37.0,,,,,
2013,,Alabama,mental health crisis,,,0.0,,,,
2014,,Alabama,mental health crisis,,,0.0,,,,
2015,,Alabama,mental health crisis,,,0.0,,,,
2016,,Alabama,mental health crisis,,,0.0,,,,
2017,,Alabama,mental health crisis,,,5.416666666666667,,,,
2018,,Alabama,mental health crisis,,,0.0,,,,
2019,,Alabama,mental health crisis,,,7.333333333333333,,,,
2020,,Alabama,mental health crisis,,,5.916666666666667,,,,
2021,,Alabama,mental health crisis,,,6.25,,,,
2022,,Alabama,mental health crisis,,,28.416666666666668,,,,
2023,,Alabama,mental health crisis,,,47.333333333333336,,,,
2013,,Alabama,suicide prevention,,,,9.833333333333334,,,
2014,,Alabama,suicide prevention,,,,16.833333333333332,,,
2015,,Alabama,suicide prevention,,,,24.333333333333332,,,
2016,,Alabama,suicide prevention,,,,20.916666666666668,,,
2017,,Alabama,suicide prevention,,,,29.166666666666668,,,
2018,,Alabama,suicide prevention,,,,30.666666666666668,,,
2019,,Alabama,suicide prevention,,,,36.916666666666664,,,
2020,,Alabama,suicide prevention,,,,29.833333333333332,,,
2021,,Alabama,suicide prevention,,,,25.166666666666668,,,
2022,,Alabama,suicide prevention,,,,30.083333333333332,,,
2023,,Alabama,suicide prevention,,,,29.666666666666668,,,
2013,,Alabama,crisis hotline,,,,,0.0,,
2014,,Alabama,crisis hotline,,,,,0.0,,
2015,,Alabama,crisis hotline,,,,,0.0,,
2016,,Alabama,crisis hotline,,,,,0.0,,
2017,,Alabama,crisis hotline,,,,,0.0,,
2018,,Alabama,crisis hotline,,,,,0.0,,
2019,,Alabama,crisis hotline,,,,,15.583333333333334,,
2020,,Alabama,crisis hotline,,,,,13.083333333333334,,
2021,,Alabama,crisis hotline,,,,,0.0,,
2022,,Alabama,crisis hotline,,,,,29.583333333333332,,
2023,,Alabama,crisis hotline,,,,,7.166666666666667,,
2013,,Alabama,psychiatric hospital,,,,,,30.166666666666668,
2014,,Alabama,psychiatric hospital,,,,,,32.166666666666664,
2015,,Alabama,psychiatric hospital,,,,,,28.666666666666668,
2016,,Alabama,psychiatric hospital,,,,,,45.583333333333336,
2017,,Alabama,psychiatric hospital,,,,,,53.166666666666664,
2018,,Alabama,psychiatric hospital,,,,,,59.25,
2019,,Alabama,psychiatric hospital,,,,,,64.33333333333333,
2020,,Alabama,psychiatric hospital,,,,,,53.083333333333336,
2021,,Alabama,psychiatric hospital,,,,,,59.25,
2022,,Alabama,psychiatric hospital,,,,,,63.0,
2023,,Alabama,psychiatric hospital,,,,,,57.75,
2013,,Alabama,depression help,,,,,,,37.333333333333336
2014,,Alabama,depression help,,,,,,,47.75
2015,,Alabama,depression help,,,,,,,43.083333333333336
2016,,Alabama,depression help,,,,,,,45.583333333333336
2017,,Alabama,depression help,,,,,,,52.333333333333336
2018,,Alabama,depression help,,,,,,,55.0
2019,,Alabama,depression help,,,,,,,51.833333333333336
2020,,Alabama,depression help,,,,,,,52.166666666666664
2021,,Alabama,depression help,,,,,,,55.583333333333336
2022,,Alabama,depression help,,,,,,,60.166666666666664
2023,,Alabama,depression help,,,,,,,63.75
2013,16.25,Alaska,suicidal thoughts,,,,,,,
2014,0.0,Alaska,suicidal thoughts,,,,,,,
2015,0.0,Alaska,suicidal thoughts,,,,,,,
2016,0.0,Alaska,suicidal thoughts,,,,,,,
2017,7.666666666666667,Alaska,suicidal thoughts,,,,,,,
2018,0.0,Alaska,suicidal thoughts,,,,,,,
2019,0.0,Alaska,suicidal thoughts,,,,,,,
2020,0.0,Alaska,suicidal thoughts,,,,,,,
2021,0.0,Alaska,suicidal thoughts,,,,,,,
2022,0.0,Alaska,suicidal thoughts,,,,,,,
2023,0.0,Alaska,suicidal thoughts,,,,,,,
2013,,Alaska,suicide hotline,0.0,,,,,,
2014,,Alaska,suicide hotline,8.083333333333334,,,,,,
2015,,Alaska,suicide hotline,0.0,,,,,,
2016,,Alaska,suicide hotline,0.0,,,,,,
2017,,Alaska,suicide hotline,24.333333333333332,,,,,,
2018,,Alaska,suicide hotline,22.0,,,,,,
2019,,Alaska,suicide hotline,11.416666666666666,,,,,,
2020,,Alaska,suicide hotline,14.5,,,,,,
2021,,Alaska,suicide hotline,7.0,,,,,,
2022,,Alaska,suicide hotline,15.333333333333334,,,,,,
2023,,Alaska,suicide hotline,9.5,,,,,,
2013,,Alaska,self harm,,15.166666666666666,,,,,
2014,,Alaska,self harm,,0.0,,,,,
2015,,Alaska,self harm,,16.0,,,,,
2016,,Alaska,self harm,,6.333333333333333,,,,,
2017,,Alaska,self harm,,7.5,,,,,
2018,,Alaska,self harm,,0.0,,,,,
2019,,Alaska,self harm,,0.0,,,,,
2020,,Alaska,self harm,,0.0,,,,,
2021,,Alaska,self harm,,0.0,,,,,
2022,,Alaska,self harm,,15.916666666666666,,,,,
2023,,Alaska,self harm,,13.166666666666666,,,,,
2013,,Alaska,suicide prevention,,,,22.083333333333332,,,
2014,,Alaska,suicide prevention,,,,12.416666666666666,,,
2015,,Alaska,suicide prevention,,,,9.25,,,
2016,,Alaska,suicide prevention,,,,12.75,,,
2017,,Alaska,suicide prevention,,,,3.6666666666666665,,,
2018,,Alaska,suicide prevention,,,,18.333333333333332,,,
2019,,Alaska,suicide prevention,,,,27.5,,,
2020,,Alaska,suicide prevention,,,,11.916666666666666,,,
2021,,Alaska,suicide prevention,,,,10.0,,,
2022,,Alaska,suicide prevention,,,,11.5,,,
2023,,Alaska,suicide prevention,,,,19.416666666666668,,,
2013,,Alaska,psychiatric hospital,,,,,,0.0,
2014,,Alaska,psychiatric hospital,,,,,,0.0,
2015,,Alaska,psychiatric hospital,,,,,,0.0,
2016,,Alaska,psychiatric hospital,,,,,,0.0,
2017,,Alaska,psychiatric hospital,,,,,,0.0,
2018,,Alaska,psychiatric hospital,,,,,,8.333333333333334,
2019,,Alaska,psychiatric hospital,,,,,,0.0,
2020,,Alaska,psychiatric hospital,,,,,,0.0,
2021,,Alaska,psychiatric hospital,,,,,,0.0,
2022,,Alaska,psychiatric hospital,,,,,,0.0,
2023,,Alaska,psychiatric hospital,,,,,,0.0,
2013,,Alaska,depression help,,,,,,,8.25
2014,,Alaska,depression help,,,,,,,0.0
2015,,Alaska,depression help,,,,,,,0.0
2016,,Alaska,depression help,,,,,,,13.25
2017,,Alaska,depression help,,,,,,,6.416666666666667
2018,,Alaska,depression help,,,,,,,5.583333333333333
2019,,Alaska,depression help,,,,,,,10.583333333333334
2020,,Alaska,depression help,,,,,,,8.333333333333334
2021,,Alaska,depression help,,,,,,,0.0
2022,,Alaska,depression help,,,,,,,3.75
2023,,Alaska,depression help,,,,,,,4.833333333333333
2013,67.75,Arizona,suicidal thoughts,,,,,,,
2014,78.33333333333333,Arizona,suicidal thoughts,,,,,,,
2015,68.66666666666667,Arizona,suicidal thoughts,,,,,,,
2016,66.75,Arizona,suicidal thoughts,,,,,,,
2017,64.41666666666667,Arizona,suicidal thoughts,,,,,,,
2018,70.33333333333333,Arizona,suicidal thoughts,,,,,,,
2019,64.0,Arizona,suicidal thoughts,,,,,,,
2020,48.833333333333336,Arizona,suicidal thoughts,,,,,,,
2021,52.25,Arizona,suicidal thoughts,,,,,,,
2022,44.333333333333336,Arizona,suicidal thoughts,,,,,,,
2023,46.416666666666664,Arizona,suicidal thoughts,,,,,,,
2013,,Arizona,suicide hotline,26.416666666666668,,,,,,
2014,,Arizona,suicide hotline,28.75,,,,,,
2015,,Arizona,suicide hotline,26.5,,,,,,
2016,,Arizona,suicide hotline,34.0,,,,,,
2017,,Arizona,suicide hotline,57.083333333333336,,,,,,
2018,,Arizona,suicide hotline,57.5,,,,,,
2019,,Arizona,suicide hotline,47.416666666666664,,,,,,
2020,,Arizona,suicide hotline,44.5,,,,,,
2021,,Arizona,suicide hotline,44.416666666666664,,,,,,
2022,,Arizona,suicide hotline,53.916666666666664,,,,,,
2023,,Arizona,suicide hotline,50.0,,,,,,
2013,,Arizona,self harm,,69.83333333333333,,,,,
2014,,Arizona,self harm,,78.58333333333333,,,,,
2015,,Arizona,self harm,,70.33333333333333,,,,,
2016,,Arizona,self harm,,49.583333333333336,,,,,
2017,,Arizona,self harm,,51.25,,,,,
2018,,Arizona,self harm,,47.75,,,,,
2019,,Arizona,self harm,,41.833333333333336,,,,,
2020,,Arizona,self harm,,44.25,,,,,
2021,,Arizona,self harm,,54.166666666666664,,,,,
2022,,Arizona,self harm,,49.75,,,,,
2023,,Arizona,self harm,,53.5,,,,,
2013,,Arizona,mental health crisis,,,4.833333333333333,,,,
2014,,Arizona,mental health crisis,,,8.583333333333334,,,,
2015,,Arizona,mental health crisis,,,0.0,,,,
2016,,Arizona,mental health crisis,,,12.75,,,,
2017,,Arizona,mental health crisis,,,17.75,,,,
2018,,Arizona,mental health crisis,,,22.416666666666668,,,,
2019,,Arizona,mental health crisis,,,31.916666666666668,,,,
2020,,Arizona,mental health crisis,,,45.916666666666664,,,,
2021,,Arizona,mental health crisis,,,45.0,,,,
2022,,Arizona,mental health crisis,,,65.66666666666667,,,,
2023,,Arizona,mental health crisis,,,78.41666666666667,,,,
2013,,Arizona,suicide prevention,,,,21.083333333333332,,,
2014,,Arizona,suicide prevention,,,,23.666666666666668,,,
2015,,Arizona,suicide prevention,,,,28.25,,,
2016,,Arizona,suicide prevention,,,,22.583333333333332,,,
2017,,Arizona,suicide prevention,,,,29.75,,,
2018,,Arizona,suicide prevention,,,,35.416666666666664,,,
2019,,Arizona,suicide prevention,,,,37.916666666666664,,,
2020,,Arizona,suicide prevention,,,,31.75,,,
2021,,Arizona,suicide prevention,,,,31.833333333333332,,,
2022,,Arizona,suicide prevention,,,,35.833333333333336,,,
2023,,Arizona,suicide prevention,,,,33.5,,,
2013,,Arizona,crisis hotline,,,,,6.333333333333333,,
2014,,Arizona,crisis hotline,,,,,22.833333333333332,,
2015,,Arizona,crisis hotline,,,,,36.083333333333336,,
2016,,Arizona,crisis hotline,,,,,55.083333333333336,,
2017,,Arizona,crisis hotline,,,,,58.583333333333336,,
2018,,Arizona,crisis hotline,,,,,66.33333333333333,,
2019,,Arizona,crisis hotline,,,,,70.75,,
2020,,Arizona,crisis hotline,,,,,57.333333333333336,,
2021,,Arizona,crisis hotline,,,,,73.08333333333333,,
2022,,Arizona,crisis hotline,,,,,67.33333333333333,,
2023,,Arizona,crisis hotline,,,,,65.08333333333333,,
2013,,Arizona,psychiatric hospital,,,,,,50.083333333333336,
2014,,Arizona,psychiatric hospital,,,,,,44.666666666666664,
2015,,Arizona,psychiatric hospital,,,,,,50.083333333333336,
2016,,Arizona,psychiatric hospital,,,,,,49.416666666666664,
2017,,Arizona,psychiatric hospital,,,,,,51.166666666666664,
2018,,Arizona,psychiatric hospital,,,,,,57.0,
2019,,Arizona,psychiatric hospital,,,,,,55.25,
2020,,Arizona,psychiatric hospital,,,,,,52.5,
2021,,Arizona,psychiatric hospital,,,,,,67.5,
2022,,Arizona,psychiatric hospital,,,,,,70.66666666666667,
2023,,Arizona,psychiatric hospital,,,,,,73.66666666666667,
2013,,Arizona,depression help,,,,,,,53.416666666666664
2014,,Arizona,depression help,,,,,,,59.0
2015,,Arizona,depression help,,,,,,,64.33333333333333
2016,,Arizona,depression help,,,,,,,63.75
2017,,Arizona,depression help,,,,,,,67.75
2018,,Arizona,depression help,,,,,,,74.25
2019,,Arizona,depression help,,,,,,,73.08333333333333
2020,,Arizona,depression help,,,,,,,72.5
2021,,Arizona,depression help,,,,,,,77.08333333333333
2022,,Arizona,depression help,,,,,,,79.75
2023,,Arizona,depression help,,,,,,,73.83333333333333
2013,19.833333333333332,Arkansas,suicidal thoughts,,,,,,,
2014,12.75,Arkansas,suicidal thoughts,,,,,,,
2015,16.666666666666668,Arkansas,suicidal thoughts,,,,,,,
2016,38.166666666666664,Arkansas,suicidal thoughts,,,,,,,
2017,25.75,Arkansas,suicidal thoughts,,,,,,,
2018,29.333333333333332,Arkansas,suicidal thoughts,,,,,,,
2019,29.916666666666668,Arkansas,suicidal thoughts,,,,,,,
2020,27.75,Arkansas,suicidal thoughts,,,,,,,
2021,20.0,Arkansas,suicidal thoughts,,,,,,,
2022,23.083333333333332,Arkansas,suicidal thoughts,,,,,,,
2023,21.583333333333332,Arkansas,suicidal thoughts,,,,,,,
2013,,Arkansas,suicide hotline,6.166666666666667,,,,,,
2014,,Arkansas,suicide hotline,0.0,,,,,,
2015,,Arkansas,suicide hotline,10.833333333333334,,,,,,
2016,,Arkansas,suicide hotline,25.916666666666668,,,,,,
2017,,Arkansas,suicide hotline,55.333333333333336,,,,,,
2018,,Arkansas,suicide hotline,60.25,,,,,,
2019,,Arkansas,suicide hotline,49.916666666666664,,,,,,
2020,,Arkansas,suicide hotline,47.75,,,,,,
2021,,Arkansas,suicide hotline,46.666666666666664,,,,,,
2022,,Arkansas,suicide hotline,50.833333333333336,,,,,,
2023,,Arkansas,suicide hotline,53.916666666666664,,,,,,
2013,,Arkansas,self harm,,53.666666666666664,,,,,
2014,,Arkansas,self harm,,61.666666666666664,,,,,
2015,,Arkansas,self harm,,58.333333333333336,,,,,
2016,,Arkansas,self harm,,39.916666666666664,,,,,
2017,,Arkansas,self harm,,43.0,,,,,
2018,,Arkansas,self harm,,36.0,,,,,
2019,,Arkansas,self harm,,30.166666666666668,,,,,
2020,,Arkansas,self harm,,28.083333333333332,,,,,
2021,,Arkansas,self harm,,32.25,,,,,
2022,,Arkansas,self harm,,36.666666666666664,,,,,
2023,,Arkansas,self harm,,41.5,,,,,
2013,,Arkansas,mental health crisis,,,0.0,,,,
2014,,Arkansas,mental health crisis,,,0.0,,,,
2015,,Arkansas,mental health crisis,,,8.333333333333334,,,,
2016,,Arkansas,mental health crisis,,,0.0,,,,
2017,,Arkansas,mental health crisis,,,0.0,,,,
2018,,Arkansas,mental health crisis,,,0.0,,,,
2019,,Arkansas,mental health crisis,,,0.0,,,,
2020,,Arkansas,mental health crisis,,,0.0,,,,
2021,,Arkansas,mental health crisis,,,0.0,,,,
2022,,Arkansas,mental health crisis,,,0.0,,,,
2023,,Arkansas,mental health crisis,,,0.0,,,,
2013,,Arkansas,suicide prevention,,,,23.25,,,
2014,,Arkansas,suicide prevention,,,,9.583333333333334,,,
2015,,Arkansas,suicide prevention,,,,30.083333333333332,,,
2016,,Arkansas,suicide prevention,,,,22.083333333333332,,,
2017,,Arkansas,suicide prevention,,,,32.333333333333336,,,
2018,,Arkansas,suicide prevention,,,,38.0,,,
2019,,Arkansas,suicide prevention,,,,36.416666666666664,,,
2020,,Arkansas,suicide prevention,,,,29.5,,,
2021,,Arkansas,suicide prevention,,,,19.583333333333332,,,
2022,,Arkansas,suicide prevention,,,,35.583333333333336,,,
2023,,Arkansas,suicide prevention,,,,30.166666666666668,,,
2013,,Arkansas,crisis hotline,,,,,0.0,,
2014,,Arkansas,crisis hotline,,,,,0.0,,
2015,,Arkansas,crisis hotline,,,,,0.0,,
2016,,Arkansas,crisis hotline,,,,,0.0,,
2017,,Arkansas,crisis hotline,,,,,0.0,,
2018,,Arkansas,crisis hotline,,,,,15.75,,
2019,,Arkansas,crisis hotline,,,,,0.0,,
2020,,Arkansas,crisis hotline,,,,,0.0,,
2021,,Arkansas,crisis hotline,,,,,0.0,,
2022,,Arkansas,crisis hotline,,,,,7.083333333333333,,
2023,,Arkansas,crisis hotline,,,,,0.0,,
2013,,Arkansas,psychiatric hospital,,,,,,9.166666666666666,
2014,,Arkansas,psychiatric hospital,,,,,,8.333333333333334,
2015,,Arkansas,psychiatric hospital,,,,,,8.583333333333334,
2016,,Arkansas,psychiatric hospital,,,,,,14.0,
2017,,Arkansas,psychiatric hospital,,,,,,13.583333333333334,
2018,,Arkansas,psychiatric hospital,,,,,,16.75,
2019,,Arkansas,psychiatric hospital,,,,,,18.25,
2020,,Arkansas,psychiatric hospital,,,,,,23.083333333333332,
2021,,Arkansas,psychiatric hospital,,,,,,17.5,
2022,,Arkansas,psychiatric hospital,,,,,,23.833333333333332,
2023,,Arkansas,psychiatric hospital,,,,,,24.0,
2013,,Arkansas,depression help,,,,,,,25.0
2014,,Arkansas,depression help,,,,,,,24.583333333333332
2015,,Arkansas,depression help,,,,,,,42.0
2016,,Arkansas,depression help,,,,,,,56.666666666666664
2017,,Arkansas,depression help,,,,,,,54.0
2018,,Arkansas,depression help,,,,,,,54.583333333333336
2019,,Arkansas,depression help,,,,,,,67.0
2020,,Arkansas,depression help,,,,,,,58.75
2021,,Arkansas,depression help,,,,,,,56.333333333333336
2022,,Arkansas,depression help,,,,,,,62.0
2023,,Arkansas,depression help,,,,,,,71.25
2013,88.41666666666667,California,suicidal thoughts,,,,,,,
2014,87.0,California,suicidal thoughts,,,,,,,
2015,75.91666666666667,California,suicidal thoughts,,,,,,,
2016,71.08333333333333,California,suicidal thoughts,,,,,,,
2017,74.08333333333333,California,suicidal thoughts,,,,,,,
2018,74.91666666666667,California,suicidal thoughts,,,,,,,
2019,63.75,California,suicidal thoughts,,,,,,,
2020,52.333333333333336,California,suicidal thoughts,,,,,,,
2021,51.75,California,suicidal thoughts,,,,,,,
2022,51.583333333333336,California,suicidal thoughts,,,,,,,
2023,46.416666666666664,California,suicidal thoughts,,,,,,,
2013,,California,suicide hotline,25.583333333333332,,,,,,
2014,,California,suicide hotline,27.0,,,,,,
2015,,California,suicide hotline,28.5,,,,,,
2016,,California,suicide hotline,29.75,,,,,,
2017,,California,suicide hotline,50.833333333333336,,,,,,
2018,,California,suicide hotline,54.5,,,,,,
2019,,California,suicide hotline,44.666666666666664,,,,,,
2020,,California,suicide hotline,46.166666666666664,,,,,,
2021,,California,suicide hotline,43.25,,,,,,
2022,,California,suicide hotline,52.5,,,,,,
2023,,California,suicide hotline,45.333333333333336,,,,,,
2013,,California,self harm,,82.33333333333333,,,,,
2014,,California,self harm,,90.75,,,,,
2015,,California,self harm,,78.16666666666667,,,,,
2016,,California,self harm,,62.333333333333336,,,,,
2017,,California,self harm,,61.083333333333336,,,,,
2018,,California,self harm,,59.333333333333336,,,,,
2019,,California,self harm,,54.0,,,,,
2020,,California,self harm,,58.416666666666664,,,,,
2021,,California,self harm,,71.41666666666667,,,,,
2022,,California,self harm,,70.5,,,,,
2023,,California,self harm,,73.33333333333333,,,,,
2013,,California,mental health crisis,,,18.083333333333332,,,,
2014,,California,mental health crisis,,,23.666666666666668,,,,
2015,,California,mental health crisis,,,25.75,,,,
2016,,California,mental health crisis,,,28.416666666666668,,,,
2017,,California,mental health crisis,,,31.666666666666668,,,,
2018,,California,mental health crisis,,,33.833333333333336,,,,
2019,,California,mental health crisis,,,41.416666666666664,,,,
2020,,California,mental health crisis,,,49.666666666666664,,,,
2021,,California,mental health crisis,,,54.833333333333336,,,,
2022,,California,mental health crisis,,,78.08333333333333,,,,
2023,,California,mental health crisis,,,85.0,,,,
2013,,California,suicide prevention,,,,19.333333333333332,,,
2014,,California,suicide prevention,,,,20.75,,,
2015,,California,suicide prevention,,,,23.083333333333332,,,
2016,,California,suicide prevention,,,,20.0,,,
2017,,California,suicide prevention,,,,28.166666666666668,,,
2018,,California,suicide prevention,,,,32.916666666666664,,,
2019,,California,suicide prevention,,,,34.666666666666664,,,
2020,,California,suicide prevention,,,,30.75,,,
2021,,California,suicide prevention,,,,27.25,,,
2022,,California,suicide prevention,,,,32.916666666666664,,,
2023,,California,suicide prevention,,,,28.916666666666668,,,
2013,,California,crisis hotline,,,,,39.333333333333336,,
2014,,California,crisis hotline,,,,,42.25,,
2015,,California,crisis hotline,,,,,53.083333333333336,,
2016,,California,crisis hotline,,,,,42.916666666666664,,
2017,,California,crisis hotline,,,,,46.166666666666664,,
2018,,California,crisis hotline,,,,,49.75,,
2019,,California,crisis hotline,,,,,55.75,,
2020,,California,crisis hotline,,,,,59.416666666666664,,
2021,,California,crisis hotline,,,,,58.916666666666664,,
2022,,California,crisis hotline,,,,,65.58333333333333,,
2023,,California,crisis hotline,,,,,59.75,,
2013,,California,psychiatric hospital,,,,,,70.58333333333333,
2014,,California,psychiatric hospital,,,,,,70.5,
2015,,California,psychiatric hospital,,,,,,76.25,
2016,,California,psychiatric hospital,,,,,,69.08333333333333,
2017,,California,psychiatric hospital,,,,,,71.41666666666667,
2018,,California,psychiatric hospital,,,,,,77.58333333333333,
2019,,California,psychiatric hospital,,,,,,83.41666666666667,
2020,,California,psychiatric hospital,,,,,,76.75,
2021,,California,psychiatric hospital,,,,,,83.83333333333333,
2022,,California,psychiatric hospital,,,,,,87.25,
2023,,California,psychiatric hospital,,,,,,82.75,
2013,,California,depression help,,,,,,,49.416666666666664
2014,,California,depression help,,,,,,,56.666666666666664
2015,,California,depression help,,,,,,,57.0
2016,,California,depression help,,,,,,,58.666666666666664
2017,,California,depression help,,,,,,,66.66666666666667
2018,,California,depression help,,,,,,,71.0
2019,,California,depression help,,,,,,,69.08333333333333
2020,,California,depression help,,,,,,,69.08333333333333
2021,,California,depression help,,,,,,,70.75
2022,,California,depression help,,,,,,,77.25
2023,,California,depression help,,,,,,,73.66666666666667
2013,72.33333333333333,Colorado,suicidal thoughts,,,,,,,
2014,65.66666666666667,Colorado,suicidal thoughts,,,,,,,
2015,70.75,Colorado,suicidal thoughts,,,,,,,
2016,54.833333333333336,Colorado,suicidal thoughts,,,,,,,
2017,56.416666666666664,Colorado,suicidal thoughts,,,,,,,
2018,61.0,Colorado,suicidal thoughts,,,,,,,
2019,58.166666666666664,Colorado,suicidal thoughts,,,,,,,
2020,49.916666666666664,Colorado,suicidal thoughts,,,,,,,
2021,44.666666666666664,Colorado,suicidal thoughts,,,,,,,
2022,44.0,Colorado,suicidal thoughts,,,,,,,
2023,41.416666666666664,Colorado,suicidal thoughts,,,,,,,
2013,,Colorado,suicide hotline,42.333333333333336,,,,,,
2014,,Colorado,suicide hotline,43.166666666666664,,,,,,
2015,,Colorado,suicide hotline,45.916666666666664,,,,,,
2016,,Colorado,suicide hotline,44.416666666666664,,,,,,
2017,,Colorado,suicide hotline,67.83333333333333,,,,,,
2018,,Colorado,suicide hotline,67.75,,,,,,
2019,,Colorado,suicide hotline,63.083333333333336,,,,,,
2020,,Colorado,suicide hotline,66.75,,,,,,
2021,,Colorado,suicide hotline,62.0,,,,,,
2022,,Colorado,suicide hotline,70.08333333333333,,,,,,
2023,,Colorado,suicide hotline,63.083333333333336,,,,,,
2013,,Colorado,self harm,,65.91666666666667,,,,,
2014,,Colorado,self harm,,69.66666666666667,,,,,
2015,,Colorado,self harm,,68.16666666666667,,,,,
2016,,Colorado,self harm,,45.583333333333336,,,,,
2017,,Colorado,self harm,,48.5,,,,,
2018,,Colorado,self harm,,44.416666666666664,,,,,
2019,,Colorado,self harm,,40.666666666666664,,,,,
2020,,Colorado,self harm,,43.5,,,,,
2021,,Colorado,self harm,,51.083333333333336,,,,,
2022,,Colorado,self harm,,49.583333333333336,,,,,
2023,,Colorado,self harm,,50.833333333333336,,,,,
2013,,Colorado,mental health crisis,,,0.0,,,,
2014,,Colorado,mental health crisis,,,2.8333333333333335,,,,
2015,,Colorado,mental health crisis,,,12.083333333333334,,,,
2016,,Colorado,mental health crisis,,,25.666666666666668,,,,
2017,,Colorado,mental health crisis,,,33.333333333333336,,,,
2018,,Colorado,mental health crisis,,,38.5,,,,
2019,,Colorado,mental health crisis,,,46.416666666666664,,,,
2020,,Colorado,mental health crisis,,,50.75,,,,
2021,,Colorado,mental health crisis,,,64.5,,,,
2022,,Colorado,mental health crisis,,,78.66666666666667,,,,
2023,,Colorado,mental health crisis,,,70.91666666666667,,,,
2013,,Colorado,suicide prevention,,,,26.083333333333332,,,
2014,,Colorado,suicide prevention,,,,30.583333333333332,,,
2015,,Colorado,suicide prevention,,,,35.666666666666664,,,
2016,,Colorado,suicide prevention,,,,31.666666666666668,,,
2017,,Colorado,suicide prevention,,,,35.5,,,
2018,,Colorado,suicide prevention,,,,38.666666666666664,,,
2019,,Colorado,suicide prevention,,,,39.666666666666664,,,
2020,,Colorado,suicide prevention,,,,33.75,,,
2021,,Colorado,suicide prevention,,,,29.083333333333332,,,
2022,,Colorado,suicide prevention,,,,35.416666666666664,,,
2023,,Colorado,suicide prevention,,,,33.916666666666664,,,
2013,,Colorado,crisis hotline,,,,,0.0,,
2014,,Colorado,crisis hotline,,,,,7.333333333333333,,
2015,,Colorado,crisis hotline,,,,,18.25,,
2016,,Colorado,crisis hotline,,,,,25.833333333333332,,
2017,,Colorado,crisis hotline,,,,,23.5,,
2018,,Colorado,crisis hotline,,,,,53.333333333333336,,
2019,,Colorado,crisis hotline,,,,,63.583333333333336,,
2020,,Colorado,crisis hotline,,,,,64.08333333333333,,
2021,,Colorado,crisis hotline,,,,,64.16666666666667,,
2022,,Colorado,crisis hotline,,,,,67.83333333333333,,
2023,,Colorado,crisis hotline,,,,,57.083333333333336,,
2013,,Colorado,psychiatric hospital,,,,,,62.5,
2014,,Colorado,psychiatric hospital,,,,,,51.5,
2015,,Colorado,psychiatric hospital,,,,,,59.333333333333336,
2016,,Colorado,psychiatric hospital,,,,,,60.25,
2017,,Colorado,psychiatric hospital,,,,,,64.91666666666667,
2018,,Colorado,psychiatric hospital,,,,,,59.416666666666664,
2019,,Colorado,psychiatric hospital,,,,,,58.916666666666664,
2020,,Colorado,psychiatric hospital,,,,,,59.083333333333336,
2021,,Colorado,psychiatric hospital,,,,,,63.083333333333336,
2022,,Colorado,psychiatric hospital,,,,,,63.916666666666664,
2023,,Colorado,psychiatric hospital,,,,,,67.16666666666667,
2013,,Colorado,depression help,,,,,,,52.166666666666664
2014,,Colorado,depression help,,,,,,,55.75
2015,,Colorado,depression help,,,,,,,67.08333333333333
2016,,Colorado,depression help,,,,,,,61.166666666666664
2017,,Colorado,depression help,,,,,,,67.75
2018,,Colorado,depression help,,,,,,,71.08333333333333
2019,,Colorado,depression help,,,,,,,71.16666666666667
