State,Year,admission_rate_per_100k,search_PC1,search_PC2,search_PC3,log_state_population
Alaska,2016,289.53304380028953,-4.113821324702164,-0.2443193904956621,0.8724276859761874,13.517879154658825
Alaska,2017,303.6506910414949,-3.876031534195768,-0.6617447943477734,0.6032120906376509,13.515732962044742
Alaska,2018,319.02300223723364,-3.7546334292285075,-0.7412740378429593,0.43583929014605677,13.509832864596445
Alaska,2019,333.9680999123504,-3.402270186841232,-1.3901197864435202,0.09909127726955368,13.505723289338059
Alaska,2020,348.76182712902,-3.3027270118483933,-1.4911850968627223,-0.055265846234055574,13.502384857647401
Arizona,2014,223.53013342149777,0.2831331198100198,1.5667318741555927,-0.4707637514285437,15.722512505029606
Arizona,2015,209.28432079920267,1.05449868034422,1.613660512615475,-0.15935013490863298,15.737246567141865
Arizona,2016,205.91043587207463,1.0940726352456853,1.2458868140431614,-0.31529149204151713,15.753498984291735
Arizona,2017,196.5071945753231,1.349580389807022,0.16468885752858042,0.7815158280098959,15.768266932331784
Arizona,2018,244.26916619627409,2.2583404039034463,-0.6275104184742241,0.30374167632158794,15.784610867451955
Arizona,2019,220.10896285068125,2.938787881635787,-0.9511908263795427,0.44686719579879913,15.802266884104585
Arizona,2020,218.28762520715424,2.943522039821608,-1.3401090367637514,1.1422443609695014,15.819878411336612
Arkansas,2014,515.3668586773126,-2.2006616524721863,0.6757961874445937,-0.12749845309099456,14.90365457833944
Arkansas,2015,538.6390453906594,-2.796070154653169,1.312593453197629,0.4251380542778172,14.907343921551476
Arkansas,2016,491.3405407754156,-1.3713457763772474,0.2587552833526881,-0.32954820545935937,14.911390784614053
Arkansas,2017,489.37115806189047,-1.1588686686229426,0.12740586387878852,-0.93224348813251,14.915407021726477
Arkansas,2018,531.180106242661,-0.4959261301070846,-0.8511543021270739,-1.8569087083981808,14.918168319328615
Arkansas,2019,590.8668861315101,0.052690292261841604,-1.3705731532829943,-1.730941439045593,14.921093495113185
Arkansas,2020,584.0577959836622,-0.25028202788635606,-1.1771530747972496,-2.0010857486629887,14.924245439875257
California,2014,323.68660854336724,1.7338533093931434,1.9076105986239655,1.078210878788824,17.468418370969253
California,2015,312.5618826260216,2.2040436665082277,1.9094406194412437,1.196727596870254,17.476615239508952
California,2016,290.55521103299566,2.3016215499358554,1.1723343048132615,1.511929308792944,17.482890188358624
California,2017,294.88188010585753,1.7889472295212017,0.6550907805319384,1.4362515089751777,17.48769606532379
California,2018,307.95591491268084,2.7714248864923965,-0.09606559305492923,0.8374121980719008,17.490226760071923
California,2019,300.09425013331185,3.2617067023593296,-0.3903982419167822,0.7581915350782633,17.49023048748527
California,2020,270.7777606008604,3.250938326983108,-0.7403687144678419,1.4709941345635102,17.4884658428306
Colorado,2014,268.09215719280047,0.6789463361648125,1.288070926629437,-1.274846157071131,15.493099894634529
Colorado,2015,259.42700915676505,0.8924531303439355,0.9629352544383539,-1.2209709344730435,15.51191997992664
Colorado,2016,236.29813537321755,1.8855768814015688,0.5317202459354169,-0.8973737409926357,15.528198680927842
Colorado,2017,242.10398330479413,1.5783046871251585,-0.5862053115177385,0.1955691040582641,15.541383219747361
Colorado,2018,253.63536712622357,2.5139613113841985,-1.1966764800961873,-0.24836243986871814,15.55547748539451
Colorado,2019,249.19744530072663,3.222133677208354,-1.724094352276914,0.5615980476733661,15.566185150899466
Colorado,2020,246.2240339107316,3.4414852888341714,-2.0695059496421178,1.2403738318667341,15.574698452773644
Delaware,2017,172.2442486079533,-3.936194919605603,-0.5543729423997766,0.7855492213439428,13.772542512322714
Delaware,2018,170.6334638076082,-3.1336116911376837,-1.0384793342077678,0.061202215570494836,13.78193826242267
Delaware,2019,189.4195366286189,-3.2678933596805733,-1.1072423955747925,0.0827233731044975,13.791902057511923
Delaware,2020,192.5397924015691,-3.485570008005474,-0.6516167848414848,0.48197449328693726,13.802231783984885
Florida,2014,520.0494815119262,1.991899857782415,1.5139319894181011,1.5799772839231623,16.803910011991448
Florida,2015,552.447632341501,1.8413175161194784,1.7401201402305142,0.7204058042562763,16.82213880422012
Florida,2016,485.28069949455664,2.192764406575025,0.8202563690663979,1.1268454614354604,16.842122944909654
Florida,2017,498.4008982371196,1.4762962086345688,0.259007617260796,1.2969881060148758,16.858941400113977
Florida,2018,498.2374438753633,2.326959810731379,-0.6648701747063621,0.7042060626410097,16.87209923823521
Florida,2019,501.3480329662272,2.9565945454366096,-1.0623955667088023,0.6417504543492382,16.88319393644815
Florida,2020,471.6262298171581,2.9071656599500084,-1.3024746902924242,1.2209596835322367,16.894356756633197
Georgia,2014,242.77137073184105,0.8066464623316311,1.713076608422226,0.761077546327546,16.125190820606242
Georgia,2015,241.57072822674417,0.9371569356933243,1.8212525313248418,0.1401840184281442,16.136264886172132
Georgia,2016,218.75274653531545,1.7371063276212741,0.9916259764989082,0.813214945598453,16.148473729152137
Georgia,2017,224.15216005404997,0.9517320769321542,0.28271441935739217,0.9972873558202123,16.15895262086693
Georgia,2018,226.24888194551983,1.8720838167663771,-0.5412695423235779,0.5156377452885524,16.16873068373923
Georgia,2019,216.87953165312072,2.8829044391858436,-1.0282254100206691,0.9584477410245089,16.179004467681676
Georgia,2020,200.74664680737664,2.486043348062153,-1.264004155698325,1.287984246315358,16.186690029724257
Hawaii,2014,321.4786605291327,-4.157768492309338,-0.47471785386971677,1.3057096111106967,14.162876810155433
Hawaii,2015,323.2609439641208,-3.553076035054036,-0.394786537765057,0.528636544670516,14.168277174331054
Hawaii,2016,286.93701732469725,-3.057682468424827,-0.6192716345222115,0.6068248049667759,14.172404977816406
Hawaii,2017,263.0170652485722,-3.5263711556286284,-0.6337350658500946,0.3849475046491832,14.170217666985282
Hawaii,2018,291.616482866302,-1.9990961346240668,-1.5006173405799608,-1.1195258090627977,14.168349554053378
Hawaii,2019,300.2228713315414,-2.3083126691580427,-0.9644844925838005,-0.4528395346812838,14.163074623610926
Hawaii,2020,277.1843190434156,-2.293610745788299,-1.5072189897123822,-0.8135897019807148,14.156974600479758
Illinois,2014,646.0955032373847,1.1867343574358151,1.6097081672204023,0.4909051657736916,16.37158154212848
Illinois,2015,635.3237682242468,1.5972597680441818,1.5541900885419473,0.3286777180478329,16.369600005646507
Illinois,2016,598.204186353005,1.8252029429474144,0.7842151126047665,0.5460393971539245,16.366650307904457
Illinois,2017,615.4198630614513,1.4652491734817223,0.31289751718023984,0.4864201198416151,16.36338363442165
Illinois,2018,612.1959011166092,2.35977905243423,-0.6921841641677186,0.42429109239979546,16.359054365674034
Illinois,2019,577.089302082724,2.894700041121234,-1.107312624059769,0.20592892330817314,16.354512086534815
Illinois,2020,514.3979795877349,2.950382007147596,-1.299666052023281,0.9650391697496028,16.348217199322896
Indiana,2014,465.4322554255832,-0.026387033255516022,1.5281754829557193,-0.5530891206398121,15.701976843191135
Indiana,2015,430.3145970273959,0.0033232708666390263,1.572579615105044,-1.181941973360683,15.704312342347327
Indiana,2016,367.586244922715,0.47832999258836156,0.6945814840938181,-1.4702584626249187,15.70830590506988
Indiana,2017,418.0383628627026,0.5328907939114725,0.3342057965003564,-0.7275153123687231,15.711940504828672
Indiana,2018,436.6661635675312,1.3420936994696904,-0.7255996791018328,-1.1052456399850883,15.717391342239232
Indiana,2019,446.4411730186108,1.359892376157616,-0.5372572328428171,-1.9369944390344982,15.722235764655096
Indiana,2020,413.770458506521,1.5825969330042502,-0.9708885297184723,-0.44211857229554663,15.7257865715432
Iowa,2014,143.05723929104047,-1.8375594998137412,1.1329939739632378,-0.19845816794778862,14.950340015196659
Iowa,2015,144.11339995215434,-1.6320059947753283,0.8384847290918257,-0.6028489384189505,14.954157651400068
Iowa,2016,110.11071712397192,-0.5951247215003036,0.08732993682394083,-0.783174940137881,14.957568596095303
Iowa,2017,607.5577641110857,-0.6664554969016022,0.2555247059410326,-0.6956571130912379,14.960921823354015
Iowa,2018,606.3684561414648,-0.20622581161710732,-1.0334418373347571,-1.519408779378729,14.962881264266153
Iowa,2019,595.012780114926,0.5825840238758289,-1.0781904832920122,-2.1379229564147595,14.965954729288564
Iowa,2020,554.7545945850262,0.16346424591823647,-0.791103293139385,-1.2810235125260032,14.967208849823507
Kansas,2014,415.25076494015394,-0.9253539351556708,1.7125694246258905,-0.5108772579611268,14.880862813277746
Kansas,2015,401.9628153475587,-0.5458896014905604,1.81780935710421,-0.6743611434645371,14.88391000055079
Kansas,2016,374.1876437747363,-1.160060180082389,0.8915712403089553,-0.7802061346083834,14.884686140270167
Kansas,2017,389.9148439722257,-0.36038489588255274,0.5441652608205928,-1.0965962112859826,14.883970121386817
Kansas,2018,372.500470346216,0.23797428223561723,0.1662896511865576,-1.3318687805363398,14.884607523445611
Kansas,2019,415.43138772966745,1.5472460454610193,-0.3129656874563029,-2.2786967921691605,14.884568727713207
Kansas,2020,403.2527914531,0.9226159407934286,-0.4462462698736166,-1.7936177213559277,14.88497034517283
Kentucky,2014,503.7364794864922,-0.6839932022281724,1.475684431578772,-0.4558460253673773,15.300969479392961
Kentucky,2015,521.5475920079944,0.08749242134868705,1.4092910640171876,-0.3803598717745373,15.303712831360462
Kentucky,2016,481.948766594014,0.13621826257317057,0.6586112118000942,-1.2252042976952762,15.306233850952527
Kentucky,2017,501.617069793226,0.09551989386402553,0.476857087918696,-1.2567559144913536,15.309670045584014
Kentucky,2018,449.1212790974029,0.7432446526392433,-0.1305983036076861,-1.8659213802693935,15.311616937087315
Kentucky,2019,408.06333142903776,1.5052921763472846,-0.6798142700357316,-0.7234772562888331,15.313423437531938
Kentucky,2020,380.81403075235227,0.6197636395871191,-0.2814691207249642,-1.374523662018456,15.31451979998035
Louisiana,2014,474.6081415636627,-0.28662955287243647,2.0541709887523663,-0.31043195700574816,15.351503847410706
Louisiana,2015,560.3173603245598,-0.30400437099297967,2.256390750882251,0.056281769992391074,15.356026596391043
Louisiana,2016,595.9824375297189,-1.1042192278602871,1.3892671225980067,-0.43995932129093157,15.359096233380518
Louisiana,2017,460.0236259575713,-0.4405500967480181,0.9065039213886432,-0.6899352862530078,15.357455830144433
Louisiana,2018,454.5016025469241,0.34738973553451846,-0.10287321961235998,-1.5886190486036993,15.355480486063186
Louisiana,2019,549.5584748464295,0.7249623389765508,-0.33849137706953014,-1.929140486378827,15.354157912612658
Louisiana,2020,430.5410307755034,0.9537516742339726,-0.6980611204323155,-1.6040972402950924,15.35137038859719
Maine,2014,484.5190528666626,-2.8897274207393058,0.9157707245090798,0.6392281675827661,14.101604119400232
Maine,2015,406.2905820338305,-2.802277728611466,0.5573313657315769,0.45294285201323087,14.100011074630622
Maine,2016,337.74959695214767,-2.951624805253165,0.2038143077544032,0.27007017818251666,14.102453357220952
Maine,2017,348.1208585783343,-3.1323962264712306,-0.4006594910985988,0.19229445110151855,14.104998249304696
Maine,2018,328.3280713785227,-0.30927530229599953,-2.2748145996317386,-1.0481903285375285,14.10827195875933
Maine,2019,356.6731313671727,-0.6678374436311211,-1.8486596826061636,-0.5113875911403863,14.112476897914108
Maine,2020,337.0018390671789,-0.47435760060597393,-1.9668422202357325,0.8828490812701417,14.115719589405115
Maryland,2014,604.8592766789081,0.8923486222882425,1.9668964097636559,0.08022067962321153,15.600591777238911
Maryland,2015,568.5871386090205,1.3526092088611206,1.7738130976145474,-0.32469242815698757,15.605356196987055
Maryland,2016,514.3986679571581,1.2488157915599714,1.3307371843582316,-0.1632654551634101,15.608438344443867
Maryland,2017,498.491586026045,1.0904098310531367,0.2631631386596799,0.705354422345927,15.611956694257795
Maryland,2018,489.0640803038255,1.8015855382163595,-0.5109670572415681,0.4024805137551162,15.614270963348954
Maryland,2019,461.605488662672,2.563297299249708,-0.6166798680510823,0.1743480316334888,15.616387337913222
Maryland,2020,402.9193821066144,2.6381070617100573,-1.155799259164489,0.9663718510120372,15.61652737871685
Massachusetts,2014,627.5070718347035,1.1044641343833237,1.7504690955447721,-0.18496130714150394,15.727252715911186
Massachusetts,2015,540.6412137196645,1.5788524831441533,1.2885959934222728,0.11064951256207155,15.732063101679445
Massachusetts,2016,481.1579428410728,1.5211653217895063,0.5868159786739153,-0.2594260690204651,15.736436909181764
Massachusetts,2017,497.5552045877066,1.3945504350242135,0.12048686122471562,0.6996343672145107,15.741736815531176
Massachusetts,2018,500.3107881238273,2.4746023877461494,-0.8395119466087594,0.03514288182771626,15.74496025984069
Massachusetts,2019,496.0200194840145,2.918548624721622,-1.0719371762996142,0.2945489385396147,15.746290100247583
